SubjectID,Series Description,image_data_id,Acquisition_Type,Weighting,Pulse_Sequence,Slice_Thickness,TE,TR,TI,Coil,Flip_Angle,Acquisition_Plane,Matrix_X,Matrix_Y,Matrix_Z,Pixel_Spacing_X,Pixel_Spacing_Y,Manufacturer,Mfg_Model,Field_Strength,date_added
SSSE_MSME,,1272646,2D,PD,RM,0.5,60,4000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,49:40.0
MGHOldData,,1279710,2D,PD,RM,0.4,10,2400,0,,180,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,,0,11:23.0
MGHOldData,,1279711,2D,PD,RM,0.4,27,2500,0,,80,AXIAL,128,128,720,0.15,0.15,Bruker BioSpin MRI GmbH,,0,11:28.0
MGHOldData,,1279712,2D,PD,RM,0.4,50,2400,0,,180,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,,0,11:32.0
MGHOldData,,1279713,2D,PD,RM,0.4,30,2400,0,,180,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,,0,11:37.0
testUpload,,1294154,2D,PD,RM,0.5,93.5,5000,0,,180,AXIAL,140,140,20,0.1,0.1,Bruker BioSpin MRI GmbH,,0,05:28.0
testUpload,,1294155,2D,PD,RM,0.5,42.5,5000,0,,180,AXIAL,140,140,20,0.1,0.1,Bruker BioSpin MRI GmbH,,0,05:33.0
testUpload,,1294156,2D,PD,RM,0.5,17,5000,0,,180,AXIAL,140,140,20,0.1,0.1,Bruker BioSpin MRI GmbH,,0,05:38.0
testUpload,,1294157,2D,PD,RM,0.5,68,5000,0,,180,AXIAL,140,140,20,0.1,0.1,Bruker BioSpin MRI GmbH,,0,05:42.0
AU_Mouse_3,,1307232,2D,PD,RM,0.5,10,4337,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,44:14.0
AU_Mouse_3,,1307233,2D,PD,RM,0.5,35,2000,0,,90,AXIAL,128,128,60,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05375,44:19.0
AU_Mouse_3,,1307234,2D,PD,RM,0.5,35,2000,0,,90,AXIAL,128,128,60,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05375,44:24.0
AU_Mouse_3,,1307235,2D,PD,RM,0.5,35,6000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,44:29.0
AU_Mouse_3,,1307236,2D,PD,RM,0.5,35,2000,0,,90,AXIAL,128,128,60,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05375,44:33.0
AU_Mouse_3,,1307237,2D,T2,RM/GR,1,3,100,0,,30,AXIAL,256,256,1,0.15625,0.15625,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,44:38.0
AU_Mouse_3,,1307238,2D,T2,RM/GR,1,3,100,0,,30,CORONAL,256,256,1,0.15625,0.15625,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,44:42.0
AU_Mouse_3,,1307239,2D,T2,RM/GR,1,3,100,0,,30,SAGITTAL,256,256,1,0.15625,0.15625,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,44:46.0
AU_Mouse_3,,1307240,2D,PD,RM,0.5,40,4337,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,44:51.0
AU_Mouse_3,,1307241,2D,PD,RM,0.5,70,4337,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,44:56.0
AU_Mouse_2,,1307242,2D,PD,RM,0.5,10,4337,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,48:35.0
AU_Mouse_2,,1307243,2D,PD,RM,0.5,35,2000,0,,90,AXIAL,128,128,60,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05377,48:40.0
AU_Mouse_2,,1307244,2D,PD,RM,0.5,35,2000,0,,90,AXIAL,128,128,60,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05377,48:44.0
AU_Mouse_2,,1307245,2D,PD,RM,0.5,35,6000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,48:49.0
AU_Mouse_2,,1307246,2D,PD,RM,0.5,35,2000,0,,90,AXIAL,128,128,60,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05377,48:54.0
AU_Mouse_2,,1307247,2D,T2,RM/GR,1,3,100,0,,30,AXIAL,256,256,1,0.15625,0.15625,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,48:59.0
AU_Mouse_2,,1307248,2D,T2,RM/GR,1,3,100,0,,30,CORONAL,256,256,1,0.15625,0.15625,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,49:03.0
AU_Mouse_2,,1307249,2D,T2,RM/GR,1,3,100,0,,30,SAGITTAL,256,256,1,0.15625,0.15625,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,49:08.0
AU_Mouse_2,,1307250,2D,PD,RM,0.5,40,4337,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,49:13.0
AU_Mouse_2,,1307251,2D,PD,RM,0.5,70,4337,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,49:18.0
Test_KKI,,1309739,2D,PD,RM/EP,1,17,2500,0,,90,AXIAL,64,64,90,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7512,44:49.0
T2_MAP,,1309746,2D,PD,RM,1.5,37.5,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,47:39.0
T2_MAP,,1309747,2D,PD,RM,1.5,30,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,47:44.0
T2_MAP,,1309748,2D,PD,RM,1.5,15,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,47:48.0
T2_MAP,,1309749,2D,PD,RM,1.5,45,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,47:52.0
T2_MAP,,1309750,2D,PD,RM,1.5,52.5,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,47:56.0
T2_MAP,,1309752,2D,PD,RM,1.5,7.5,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,48:00.0
T2_MAP,,1309754,2D,PD,RM,1.5,75,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,48:04.0
T2_MAP,,1309755,2D,PD,RM,1.5,22.5,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,48:09.0
T2_MAP,,1309758,2D,PD,RM,1.5,60,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,48:13.0
T2_MAP,,1309760,2D,PD,RM,1.5,67.5,2500,0,,90,AXIAL,64,64,1,0.23438,0.23438,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,48:17.0
